id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time,
1865,536165.9923,3103692.48,515.687,40.22179941,0,0,11.14321106,26.53846939,66.47822486,2.178133941,131462.1268
1866,536126.021,3103692.48,516.447,39.97852453,0,0,1.901020633,0,80,1.799033604,131502.1053
1867,536046.0783,3103732.405,521.329,89.49119975,0,0,5.455285004,26.53846939,67.61813795,4.764525154,131591.5965
1868,536009.951,3103754.215,525.265,42.3833694,0,0,9.286661387,4.580851664,80,1.907251623,131633.9799
1869,535966.1357,3103812.254,523.652,72.73862663,0,0,-2.217528808,21.83048078,76.88794185,3.405723311,131706.7185
1870,535926.1643,3103852.179,523.932,56.49598962,0,0,0.4956104,7.983076466,80,2.542319533,131763.2145
1871,535846.2217,3103892.103,522.326,89.37183173,0,0,-1.796986779,18.42880096,80,4.021732428,131852.5864
1872,535807.6697,3103903.091,525.674,40.22688096,0,0,8.322792918,10.62943778,80,1.810209643,131892.8132
1873,535726.3077,3103932.028,524.913,86.35799983,0,0,-0.881215407,3.669821042,80,3.886109992,131979.1712
1874,535657.1403,3103954.134,523.933,72.62069167,0,0,-1.349477645,1.85435354,80,3.267931125,132051.7919
1875,535606.3937,3103971.953,526.17,53.830645,0,0,4.15562548,1.624098486,80,2.422379025,132105.6226
1876,535526.4511,3104011.877,528.253,89.38167575,0,0,2.3304553,7.189871791,80,4.022175409,132195.0043
1877,535486.4798,3104091.727,527.918,89.29635798,0,0,-0.375155278,36.87045281,80,4.018336109,132284.3006
1878,535406.5371,3104131.651,529.925,89.38002634,0,0,2.245468123,36.87048146,80,4.022101185,132373.6806
1879,535366.5658,3104131.651,532.937,40.08462258,0,0,7.514103429,26.53789575,67.19579269,2.14752495,132413.7653
1880,535286.6231,3104171.576,540.532,89.68012563,0,0,8.468989028,26.53846939,66.08679218,4.885218992,132503.4454
1881,535246.6518,3104171.576,542.238,40.00769001,0,0,4.264180211,26.53846939,66.66781757,2.160377965,132543.4531
1882,535206.6805,3104171.576,542.077,39.97162424,0,0,-0.402785734,0,80,1.798723091,132583.4247
1883,535166.7091,3104171.576,544.373,40.03728804,0,0,5.734654149,0,80,1.801677962,132623.462
1884,535086.7665,3104211.5,550.189,89.54647356,0,0,6.494951469,26.5379244,66.75818694,4.828880465,132713.0085
1885,535046.7952,3104211.5,553.064,40.07456112,0,0,7.174127227,26.5379244,66.50172283,2.169393722,132753.083
1886,534966.8525,3104251.425,556.357,89.41859291,0,0,3.682679287,26.53846939,67.0009818,4.804510708,132842.5016
