fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"897","6657",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,30.62847519,0.000305601,67.97577278,27.9786058,84.230732,486.4
"898","6659",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,58.42774298,0.000562599,49.29597537,27.9789727,84.2311585,477.6
"899","6661",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,44.4062061,0.000434613,57.26794213,27.9792077,84.2315241,477
"900","6663",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,34.52254759,0.000347292,73.79852769,27.9793046,84.2318576,474.8
"901","6665",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,48.78892362,0.000493086,78.04970144,27.9794067,84.23234,471
"902","6667",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,62.26993441,0.000620927,67.58171997,27.9796435,84.232914,469.2
"903","6669",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,155.4849549,0.001554298,69.18983203,27.9801957,84.2343669,459.2
"904","6671",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,23.58508804,0.000238781,80.06430013,27.9802369,84.2346021,457.2
"905","6673",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,35.85021313,0.000364214,93.58909119,27.9802141,84.2349656,453.6
"906","6675",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,36.68930264,0.000370956,101.5068244,27.9801401,84.2353291,453
"907","6677",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,81.2307624,0.000816643,106.7241087,27.9799051,84.2361112,450.4
"908","6679",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,22.86098371,0.000230338,104.8929615,27.9798459,84.2363338,451.7
"909","6681",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,70.17262492,0.000711786,82.81707486,27.9799349,84.23704,439
"910","6683",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,20.34569078,0.000206742,92.77244816,27.9799249,84.2372465,436.1
"911","6685",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,16.02632402,0.000160514,109.5073554,27.9798713,84.2373978,437
"912","6687",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,9.475844961,9.49e-05,109.4467318,27.9798397,84.2374873,436.8
"913","6689",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,26.18698658,0.000257986,119.3371871,27.9797133,84.2377122,438.6
