id,fid,X,Y,Z,name,ref,oneway,maxspeed,bridge,tunnel
320,163,508167.486,3108341.87,550.2,Prithvi Highway,H04,B,0,F,F
321,163,508179.0325,3108311.959,550.8,Prithvi Highway,H04,B,0,F,F
322,163,508216.6188,3108238.972,548.4,Prithvi Highway,H04,B,0,F,F
323,163,508253.3497,3108167.547,540.2,Prithvi Highway,H04,B,0,F,F
324,163,508258.7912,3108156.614,538.3,Prithvi Highway,H04,B,0,F,F
325,136,508280.9797,3108113.125,536.3,Prithvi Highway,H04,B,0,T,F
326,135,508294.431,3108086.274,538.6,Prithvi Highway,H04,B,0,F,F
327,135,508298.1731,3108074.63,539.1,Prithvi Highway,H04,B,0,F,F
328,135,508299.1442,3108062.63,539.1,Prithvi Highway,H04,B,0,F,F
329,135,508299.1116,3108052.746,539.1,Prithvi Highway,H04,B,0,F,F
330,135,508297.8894,3108043.67,539.3,Prithvi Highway,H04,B,0,F,F
331,135,508294.251,3108032.675,539.8,Prithvi Highway,H04,B,0,F,F
332,135,508289.5398,3108024.328,539.8,Prithvi Highway,H04,B,0,F,F
333,135,508277.6643,3108002.258,539.5,Prithvi Highway,H04,B,0,F,F
334,135,508264.5759,3107986.182,538.7,Prithvi Highway,H04,B,0,F,F
335,135,508219.9607,3107929.55,536.1,Prithvi Highway,H04,B,0,F,F
336,135,508180.746,3107878.685,536.8,Prithvi Highway,H04,B,0,F,F
337,135,508169.4247,3107864.915,536.4,Prithvi Highway,H04,B,0,F,F
338,135,508159.6862,3107850.093,535.1,Prithvi Highway,H04,B,0,F,F
339,135,508149.6751,3107831.471,533.6,Prithvi Highway,H04,B,0,F,F
340,135,508141.9948,3107809.969,532.1,Prithvi Highway,H04,B,0,F,F
341,135,508131.8002,3107771.544,528.2,Prithvi Highway,H04,B,0,F,F
342,135,508124.0313,3107735.293,527.1,Prithvi Highway,H04,B,0,F,F
343,135,508110.2411,3107680.157,531.4,Prithvi Highway,H04,B,0,F,F
344,135,508097.4737,3107653.399,532,Prithvi Highway,H04,B,0,F,F
345,135,508083.8703,3107627.571,531.2,Prithvi Highway,H04,B,0,F,F
346,135,508073.7803,3107608.805,530.3,Prithvi Highway,H04,B,0,F,F
347,135,508062.324,3107590.58,528.8,Prithvi Highway,H04,B,0,F,F
348,135,508045.2181,3107555.697,526.6,Prithvi Highway,H04,B,0,F,F
